epoch,accuracy,loss,lr,mse,precision,recall,val_accuracy,val_loss,val_mse,val_precision,val_recall
0,0.49938270449638367,159.4320526123047,1e-05,0.3422697186470032,0.3333333432674408,0.0012345679569989443,0.5,115.77867126464844,0.48182132840156555,0.0,0.0
1,0.5,85.7846908569336,1e-05,0.478145956993103,0.0,0.0,0.5,60.848262786865234,0.4760363698005676,0.0,0.0
2,0.5,43.95789337158203,1e-05,0.47651657462120056,0.0,0.0,0.5,30.11449432373047,0.4926549196243286,0.0,0.0
3,0.5,21.107872009277344,1e-05,0.4920920729637146,0.0,0.0,0.5,13.91354751586914,0.4934731423854828,0.0,0.0
4,0.5,9.512503623962402,1e-05,0.49530941247940063,0.0,0.0,0.5,6.116622447967529,0.4936787188053131,0.0,0.0
5,0.5,4.1866278648376465,1e-05,0.49503305554389954,0.0,0.0,0.5,2.7489850521087646,0.49762091040611267,0.0,0.0
6,0.5,1.9818804264068604,1e-05,0.4978771209716797,0.0,0.0,0.5,1.4241907596588135,0.49688348174095154,0.0,0.0
7,0.5,1.1390491724014282,1e-05,0.49811622500419617,0.0,0.0,0.5,0.9360849857330322,0.4979095757007599,0.0,0.0
8,0.5,0.8377490639686584,1e-05,0.498201847076416,0.0,0.0,0.5,0.7696918249130249,0.4978596568107605,0.0,0.0
9,0.5,0.738198459148407,1e-05,0.498618483543396,0.0,0.0,0.5,0.7166005373001099,0.4992724061012268,0.0,0.0
10,0.5,0.7067285776138306,1e-05,0.4989328980445862,0.0,0.0,0.5,0.7000393867492676,0.49925997853279114,0.0,0.0
11,0.5,0.6971464157104492,1e-05,0.49884408712387085,0.0,0.0,0.5,0.6952494978904724,0.49914270639419556,0.0,0.0
12,0.5,0.6944478154182434,1e-05,0.4994163513183594,0.0,0.0,0.5,0.69388347864151,0.4994915723800659,0.0,0.0
13,0.5,0.6936070322990417,1e-05,0.4994949996471405,0.0,0.0,0.5,0.6933941841125488,0.49892669916152954,0.0,0.0
14,0.5,0.6933022737503052,1e-05,0.4996516704559326,0.0,0.0,0.5,0.6932220458984375,0.49969619512557983,0.0,0.0
15,0.5,0.6931962370872498,1e-05,0.4995240271091461,0.0,0.0,0.5,0.6931725740432739,0.49971872568130493,0.0,0.0
16,0.5,0.693173885345459,1e-05,0.4994605779647827,0.0,0.0,0.5,0.6931651830673218,0.4999007284641266,0.0,0.0
17,0.5,0.6931642293930054,1e-05,0.49974313378334045,0.0,0.0,0.5,0.6931605935096741,0.4998127818107605,0.0,0.0
18,0.5,0.6931633353233337,1e-05,0.4997726380825043,0.0,0.0,0.5,0.6931590437889099,0.4997669756412506,0.0,0.0
19,0.5,0.6931611895561218,1e-05,0.49982956051826477,0.0,0.0,0.5,0.6931591629981995,0.499862939119339,0.0,0.0
20,0.5,0.6931594610214233,1e-05,0.49983423948287964,0.0,0.0,0.5,0.6931552886962891,0.49987903237342834,0.0,0.0
21,0.5,0.693156361579895,1e-05,0.49985942244529724,0.0,0.0,0.5,0.6931547522544861,0.4995179772377014,0.0,0.0
22,0.5,0.6931540966033936,1e-06,0.4992004334926605,0.0,0.0,0.5,0.6931515336036682,0.4993542432785034,0.0,0.0
23,0.5,0.6931535005569458,1e-06,0.49936750531196594,0.0,0.0,0.5,0.6931515336036682,0.4993094503879547,0.0,0.0
24,0.5,0.6931560635566711,1e-06,0.4992557764053345,0.0,0.0,0.5,0.6931514143943787,0.49941280484199524,0.0,0.0
25,0.5,0.6931545734405518,1e-06,0.499166876077652,0.0,0.0,0.5,0.6931533217430115,0.4994073510169983,0.0,0.0
26,0.5,0.6931559443473816,1e-06,0.49946656823158264,0.0,0.0,0.5,0.6931537985801697,0.49945586919784546,0.0,0.0
27,0.5,0.6931556463241577,1e-06,0.49952074885368347,0.0,0.0,0.5,0.6931537389755249,0.4995006024837494,0.0,0.0
28,0.5,0.6931559443473816,1e-06,0.4994874596595764,0.0,0.0,0.5,0.693152904510498,0.49954086542129517,0.0,0.0
29,0.5,0.6931527853012085,1e-07,0.499508261680603,0.0,0.0,0.5,0.6931518316268921,0.49953845143318176,0.0,0.0
30,0.5,0.6931509971618652,1e-07,0.49950042366981506,0.0,0.0,0.5,0.6931511163711548,0.4995345175266266,0.0,0.0
31,0.5,0.6931546926498413,1e-07,0.49951204657554626,0.0,0.0,0.5,0.6931514143943787,0.4995349049568176,0.0,0.0
32,0.5,0.693150520324707,1e-07,0.49948322772979736,0.0,0.0,0.5,0.6931515336036682,0.4995207190513611,0.0,0.0
33,0.5,0.6931511163711548,1e-07,0.499483585357666,0.0,0.0,0.5,0.6931537985801697,0.4995168149471283,0.0,0.0
34,0.5,0.6931509375572205,1e-07,0.49949002265930176,0.0,0.0,0.5,0.6931532621383667,0.49951204657554626,0.0,0.0
35,0.5,0.6931546330451965,1e-07,0.49949827790260315,0.0,0.0,0.5,0.6931532621383667,0.49951204657554626,0.0,0.0
36,0.5,0.6931520700454712,1e-08,0.4994698464870453,0.0,0.0,0.5,0.6931530237197876,0.49951171875,0.0,0.0
37,0.5,0.6931487917900085,1e-08,0.4994673728942871,0.0,0.0,0.5,0.693152904510498,0.4995107054710388,0.0,0.0
38,0.5,0.6931542158126831,1e-08,0.4994852840900421,0.0,0.0,0.5,0.693152904510498,0.49951139092445374,0.0,0.0
39,0.5,0.6931557059288025,1e-08,0.4994859993457794,0.0,0.0,0.5,0.6931529641151428,0.49951162934303284,0.0,0.0
40,0.5,0.6931552290916443,1e-08,0.49948301911354065,0.0,0.0,0.5,0.6931530237197876,0.4995116889476776,0.0,0.0
