epoch,accuracy,loss,lr,mse,precision,recall,val_accuracy,val_loss,val_mse,val_precision,val_recall
0,0.4987654387950897,8.563711166381836,1e-05,0.4234459102153778,0.0,0.0,0.5,6.006327152252197,0.37360119819641113,0.0,0.0
1,0.5413580536842346,4.476574420928955,1e-05,0.37098702788352966,0.6959064602851868,0.1469135731458664,0.5138888955116272,3.2754085063934326,0.4089392423629761,1.0,0.02777777798473835
2,0.6000000238418579,2.5519845485687256,1e-05,0.3129073679447174,0.7354651093482971,0.3123456835746765,0.5166666507720947,2.010941505432129,0.4080759584903717,1.0,0.03333333507180214
3,0.6296296119689941,1.6769516468048096,1e-05,0.3193467855453491,0.7966101765632629,0.3481481373310089,0.5416666865348816,1.4522181749343872,0.40804535150527954,1.0,0.0833333358168602
4,0.7141975164413452,1.2694894075393677,1e-05,0.24248383939266205,0.8747300505638123,0.5,0.7916666865348816,1.152129054069519,0.1715589165687561,0.913385808467865,0.644444465637207
5,0.7734568119049072,1.0845351219177246,1e-05,0.19344615936279297,0.9251439571380615,0.595061719417572,0.6166666746139526,1.085125207901001,0.3582618832588196,1.0,0.23333333432674408
6,0.8111110925674438,0.9810201525688171,1e-05,0.16795213520526886,0.9483985900878906,0.6580246686935425,0.7333333492279053,0.9659612774848938,0.20266193151474,0.9375,0.5
7,0.8475308418273926,0.9068171977996826,1e-05,0.14201237261295319,0.9683859944343567,0.7185184955596924,0.7916666865348816,0.9025775194168091,0.1738726645708084,0.93388432264328,0.6277777552604675
8,0.8629629611968994,0.8518983721733093,1e-05,0.1299523264169693,0.9788273572921753,0.7419753074645996,0.7055555582046509,0.8953624367713928,0.23771798610687256,0.849056601524353,0.5
9,0.8660494089126587,0.810965359210968,1e-05,0.12426523119211197,0.9852700233459473,0.7432098984718323,0.6972222328186035,0.8767943382263184,0.26487451791763306,0.7629629373550415,0.5722222328186035
10,0.8864197731018066,0.7716829180717468,1e-05,0.10557063668966293,0.9860248565673828,0.7839506268501282,0.6972222328186035,0.8400019407272339,0.2523021399974823,0.8086956739425659,0.5166666507720947
11,0.8913580179214478,0.7425565123558044,1e-05,0.10023488849401474,0.9817629456520081,0.7975308895111084,0.6694444417953491,0.8299413323402405,0.2654705047607422,0.7401574850082397,0.5222222208976746
12,0.9024691581726074,0.715035080909729,1e-05,0.09093660861253738,0.9865671396255493,0.8160493969917297,0.7277777791023254,0.7991190552711487,0.22225168347358704,0.75,0.6833333373069763
13,0.9104938507080078,0.6921880841255188,1e-05,0.08450218290090561,0.9896907210350037,0.8296296000480652,0.5666666626930237,0.8308677673339844,0.3760198950767517,0.6200000047683716,0.3444444537162781
14,0.9123457074165344,0.6747903823852539,1e-05,0.08066530525684357,0.9940828680992126,0.8296296000480652,0.6861110925674438,0.7822831273078918,0.23687534034252167,0.6634146571159363,0.7555555701255798
15,0.9209876656532288,0.6589981913566589,1e-05,0.07416645437479019,0.9816384315490723,0.8580247163772583,0.6416666507720947,0.783829391002655,0.27957290410995483,0.652694582939148,0.605555534362793
16,0.9333333373069763,0.6405537724494934,1e-05,0.06468206644058228,0.9971671104431152,0.8691357970237732,0.5388888716697693,0.8019519448280334,0.38064777851104736,0.5564516186714172,0.38333332538604736
17,0.9382715821266174,0.6261410713195801,1e-05,0.05916515737771988,0.9958100318908691,0.8802469372749329,0.5888888835906982,0.7770542502403259,0.32107216119766235,0.5888888835906982,0.5888888835906982
18,0.934567928314209,0.6187233924865723,1e-05,0.06209108233451843,0.9957746267318726,0.8728395104408264,0.5972222089767456,0.7732751369476318,0.33121979236602783,0.6000000238418579,0.5833333134651184
19,0.9487654566764832,0.603617250919342,1e-05,0.048737622797489166,0.9986282587051392,0.8987654447555542,0.6361111402511597,0.7536548376083374,0.2888849973678589,0.6218905448913574,0.6944444179534912
20,0.9524691104888916,0.5950826406478882,1e-05,0.04549828916788101,0.9986394643783569,0.9061728119850159,0.644444465637207,0.7548452019691467,0.2973889410495758,0.6101694703102112,0.800000011920929
21,0.9574074149131775,0.5860231518745422,1e-05,0.04015782102942467,0.9973154067993164,0.9172839522361755,0.6166666746139526,0.7485359907150269,0.3128172755241394,0.6060606241226196,0.6666666865348816
22,0.9561728239059448,0.5805870890617371,1e-05,0.041981205344200134,0.9946452379226685,0.9172839522361755,0.6722221970558167,0.7320221662521362,0.264583557844162,0.6240000128746033,0.8666666746139526
23,0.9654321074485779,0.5706087946891785,1e-05,0.033931914716959,0.9986772537231445,0.9320987462997437,0.5638889074325562,0.7541288733482361,0.3614271879196167,0.5602094531059265,0.5944444537162781
24,0.9648148417472839,0.5652112364768982,1e-05,0.03385583311319351,0.997357964515686,0.9320987462997437,0.6277777552604675,0.730833113193512,0.2983045279979706,0.6017699241638184,0.7555555701255798
25,0.9641975164413452,0.5594693422317505,1e-05,0.034866929054260254,1.0,0.9283950328826904,0.6194444298744202,0.7285318374633789,0.3177894949913025,0.6028708219528198,0.699999988079071
26,0.9660493731498718,0.5544407367706299,1e-05,0.03206702694296837,0.9960578083992004,0.9358024597167969,0.6888889074325562,0.7060151696205139,0.25242722034454346,0.6349206566810608,0.8888888955116272
27,0.9641975164413452,0.5529975891113281,1e-05,0.03535590320825577,0.9986737370491028,0.9296296238899231,0.6083333492279053,0.7205426692962646,0.30988284945487976,0.5951219797134399,0.6777777671813965
28,0.9679012298583984,0.5485723614692688,1e-05,0.030402183532714844,0.9947780966758728,0.9407407641410828,0.5888888835906982,0.7228442430496216,0.3209232985973358,0.581632673740387,0.6333333253860474
29,0.9691358208656311,0.5452573895454407,1e-05,0.0292697511613369,0.9986876845359802,0.9395061731338501,0.6416666507720947,0.715995728969574,0.30760982632637024,0.6164383292198181,0.75
30,0.9753086566925049,0.5396465063095093,1e-05,0.02449091523885727,1.0,0.9506173133850098,0.6388888955116272,0.7057632803916931,0.2789735496044159,0.6106194853782654,0.7666666507720947
31,0.9691358208656311,0.5414227843284607,1e-05,0.02965215966105461,0.9973822236061096,0.9407407641410828,0.574999988079071,0.7222034931182861,0.32552289962768555,0.5658536553382874,0.644444465637207
32,0.9716049432754517,0.5390977263450623,1e-05,0.026943571865558624,0.9986945390701294,0.9444444179534912,0.6111111044883728,0.7137556076049805,0.31055963039398193,0.5925925970077515,0.7111111283302307
33,0.9777777791023254,0.5334754586219788,1e-05,0.022199247032403946,1.0,0.9555555582046509,0.644444465637207,0.7027844786643982,0.28366029262542725,0.613043487071991,0.7833333611488342
34,0.9765431880950928,0.5327948331832886,1e-05,0.02304801717400551,1.0,0.9530864357948303,0.5111111402511597,0.7338355779647827,0.39853525161743164,0.5138888955116272,0.41111111640930176
35,0.9777777791023254,0.5317846536636353,1e-05,0.022560175508260727,0.998711347579956,0.9567901492118835,0.625,0.708825409412384,0.3123943507671356,0.6097561120986938,0.6944444179534912
