epoch,binary_accuracy,loss,lr,mse,precision,recall,val_binary_accuracy,val_loss,val_mse,val_precision,val_recall
0,0.49938270449638367,76.19507598876953,1e-05,0.4157860577106476,0.0,0.0,0.5,49.04689025878906,0.3468993008136749,0.0,0.0
1,0.529629647731781,32.82767105102539,1e-05,0.36746853590011597,0.75,0.08888889104127884,0.5055555701255798,20.27528190612793,0.3901260793209076,1.0,0.011111111380159855
2,0.569753110408783,13.048910140991211,1e-05,0.327105849981308,0.7810945510864258,0.19382716715335846,0.5694444179534912,7.635098457336426,0.35181379318237305,1.0,0.1388888955116272
3,0.5882716178894043,4.8007988929748535,1e-05,0.35909464955329895,0.8016877770423889,0.23456789553165436,0.5333333611488342,2.772653341293335,0.4168592095375061,1.0,0.06666667014360428
4,0.6283950805664062,1.808855414390564,1e-05,0.320601224899292,0.8291139006614685,0.3234567940235138,0.5527777671813965,1.1855311393737793,0.33394840359687805,0.8518518805503845,0.12777778506278992
5,0.6339505910873413,0.9427239894866943,1e-05,0.3149346709251404,0.8401253819465637,0.33086419105529785,0.5166666507720947,0.8285054564476013,0.4596000611782074,1.0,0.03333333507180214
6,0.644444465637207,0.7431990504264832,1e-05,0.30791884660720825,0.8305084705352783,0.3629629611968994,0.7361111044883728,0.6837120652198792,0.17637236416339874,0.8102189898490906,0.6166666746139526
7,0.6604938507080078,0.6966457962989807,1e-05,0.3007027208805084,0.8714285492897034,0.37654322385787964,0.5833333134651184,0.703005313873291,0.3659614622592926,1.0,0.1666666716337204
8,0.6876543164253235,0.6720609068870544,1e-05,0.2752363681793213,0.893782377243042,0.42592594027519226,0.5361111164093018,0.710198700428009,0.4242503345012665,1.0,0.07222222536802292
9,0.6876543164253235,0.6665946245193481,1e-05,0.279323011636734,0.893782377243042,0.42592594027519226,0.5333333611488342,0.7101700305938721,0.43667981028556824,1.0,0.06666667014360428
10,0.7185184955596924,0.652500569820404,1e-05,0.24584892392158508,0.9078341126441956,0.48641976714134216,0.5166666507720947,0.7166916131973267,0.46076563000679016,1.0,0.03333333507180214
11,0.750617265701294,0.6393743753433228,1e-05,0.22424592077732086,0.9451754093170166,0.5320987701416016,0.5222222208976746,0.7147223353385925,0.4587143063545227,1.0,0.04444444552063942
12,0.7709876298904419,0.628932535648346,1e-05,0.20398898422718048,0.9507187008857727,0.5716049671173096,0.5444444417953491,0.7080536484718323,0.4438740909099579,1.0,0.08888889104127884
