epoch,accuracy,loss,lr,mse,precision,recall,val_accuracy,val_loss,val_mse,val_precision,val_recall
0,0.4987654387950897,76.36661529541016,1e-05,0.46807530522346497,0.0,0.0,0.5,49.171382904052734,0.4686644375324249,0.0,0.0
1,0.5,32.825138092041016,1e-05,0.422105073928833,0.0,0.0,0.5,20.175052642822266,0.35942238569259644,0.0,0.0
2,0.529629647731781,12.92623233795166,1e-05,0.36853981018066406,0.800000011920929,0.07901234924793243,0.6388888955116272,7.46207332611084,0.33267852663993835,1.0,0.2777777910232544
3,0.5876542925834656,4.629756450653076,1e-05,0.34783849120140076,0.7795275449752808,0.24444444477558136,0.6222222447395325,2.5999903678894043,0.32719820737838745,0.7894737124443054,0.3333333432674408
4,0.6240741014480591,1.674235463142395,1e-05,0.3210338354110718,0.8361204266548157,0.3086419701576233,0.6111111044883728,1.0870431661605835,0.3163868486881256,0.692307710647583,0.4000000059604645
5,0.635185182094574,0.8539716005325317,1e-05,0.31108376383781433,0.8369230628013611,0.33580246567726135,0.6472222208976746,0.7171391844749451,0.3222963511943817,1.0,0.2944444417953491
6,0.6679012179374695,0.684113621711731,1e-05,0.29559099674224854,0.8505154848098755,0.40740740299224854,0.6083333492279053,0.689248263835907,0.33893105387687683,0.6893203854560852,0.39444443583488464
7,0.6697530746459961,0.6590784788131714,1e-05,0.2902306914329529,0.8608924150466919,0.404938280582428,0.6472222208976746,0.6721738576889038,0.2908667027950287,0.6879432797431946,0.5388888716697693
8,0.6956790089607239,0.6458699703216553,1e-05,0.2765168845653534,0.895261824131012,0.4432098865509033,0.699999988079071,0.6498709917068481,0.2668609917163849,0.8214285969734192,0.5111111402511597
9,0.6944444179534912,0.6424432396888733,1e-05,0.2780035436153412,0.9007633328437805,0.43703705072402954,0.7277777791023254,0.6277945041656494,0.25383293628692627,0.945652186870575,0.4833333194255829
10,0.6975308656692505,0.6398646831512451,1e-05,0.2686387598514557,0.896039605140686,0.44691357016563416,0.6805555820465088,0.6560397744178772,0.29475343227386475,0.7685950398445129,0.5166666507720947
11,0.709876537322998,0.6356377601623535,1e-05,0.25337547063827515,0.8811659216880798,0.4851851761341095,0.6944444179534912,0.6316959261894226,0.2841823697090149,1.0,0.3888888955116272
12,0.7271605134010315,0.6292939186096191,1e-05,0.24797110259532928,0.9088888764381409,0.5049382448196411,0.7388888597488403,0.6255896091461182,0.2347651571035385,0.8839285969734192,0.550000011920929
13,0.7438271641731262,0.6225205063819885,1e-05,0.23595406115055084,0.9284164905548096,0.5283950567245483,0.75,0.6258434057235718,0.23340120911598206,0.8879310488700867,0.5722222328186035
14,0.7462962865829468,0.6232756972312927,1e-05,0.23622624576091766,0.9200000166893005,0.539506196975708,0.7138888835906982,0.6418663263320923,0.25891536474227905,0.7851851582527161,0.5888888835906982
15,0.7635802626609802,0.6150644421577454,1e-05,0.21765583753585815,0.9420289993286133,0.5617284178733826,0.6333333253860474,0.6572721004486084,0.3392769992351532,0.9285714030265808,0.2888889014720917
16,0.7685185074806213,0.6133000254631042,1e-05,0.2117341160774231,0.9503105878829956,0.5666666626930237,0.7055555582046509,0.6304214000701904,0.27878424525260925,1.0,0.41111111640930176
17,0.7827160358428955,0.6079190373420715,1e-05,0.20347800850868225,0.9561753273010254,0.5925925970077515,0.7388888597488403,0.6383996605873108,0.24579164385795593,0.7945205569267273,0.644444465637207
18,0.7820987701416016,0.6068850159645081,1e-05,0.1987074464559555,0.9524752497673035,0.5938271880149841,0.7666666507720947,0.6109796762466431,0.20728899538516998,0.8999999761581421,0.6000000238418579
19,0.8030864000320435,0.600131094455719,1e-05,0.18568989634513855,0.9694072604179382,0.6259258985519409,0.7777777910232544,0.6165738701820374,0.20637622475624084,0.8787878751754761,0.644444465637207
20,0.8123456835746765,0.5963580012321472,1e-05,0.17625540494918823,0.9737827777862549,0.6419752836227417,0.7777777910232544,0.6105613112449646,0.19861362874507904,0.9166666865348816,0.6111111044883728
21,0.8148148059844971,0.5951364636421204,1e-05,0.17061716318130493,0.9653284549713135,0.6530864238739014,0.7527777552604675,0.6198141574859619,0.23179998993873596,0.9789473414421082,0.5166666507720947
22,0.8259259462356567,0.5915166139602661,1e-05,0.16364289820194244,0.9765343070030212,0.6679012179374695,0.7749999761581421,0.6137282252311707,0.19989459216594696,0.8666666746139526,0.6499999761581421
